group_desc,commodity_desc,class_desc,prodn_practice_desc,statisticcat_desc,unit_desc,domain_desc,domaincat_desc
INCOME,CCC LOANS,ALL CLASSES,ALL PRODUCTION PRACTICES,RECEIPTS,OPERATIONS,TOTAL,NOT SPECIFIED
INCOME,COMMODITY TOTALS,ALL CLASSES,ALL PRODUCTION PRACTICES,SALES,OPERATIONS,FARM SALES,"FARM SALES: (250,000 OR MORE $)"
INCOME,COMMODITY TOTALS,ALL CLASSES,ALL PRODUCTION PRACTICES,SALES,OPERATIONS,FARM SALES,"FARM SALES: (50,000 TO 249,999 $)"
INCOME,COMMODITY TOTALS,ALL CLASSES,ALL PRODUCTION PRACTICES,SALES,OPERATIONS,FARM SALES,"FARM SALES: (LESS THAN 50,000 $)"
INCOME,COMMODITY TOTALS,ALL CLASSES,ALL PRODUCTION PRACTICES,SALES,OPERATIONS,TOTAL,NOT SPECIFIED
INCOME,COMMODITY TOTALS,ALL CLASSES,ORGANIC,SALES,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)
INCOME,COMMODITY TOTALS,INCL VALUE-ADDED,ALL PRODUCTION PRACTICES,SALES,OPERATIONS,TOTAL,NOT SPECIFIED
INCOME,COMMODITY TOTALS,INCL VALUE-ADDED,"WHOLESALE, DIRECT TO RETAILERS & INSTITUTIONS & FOOD HUBS, LOCAL OR REGIONALLY BRANDED PRODUCTS",SALES,OPERATIONS,TOTAL,NOT SPECIFIED
INCOME,GOVT PROGRAMS,FEDERAL,ALL PRODUCTION PRACTICES,RECEIPTS,OPERATIONS,RECEIPTS,"RECEIPTS: (250,000 OR MORE $)"
INCOME,GOVT PROGRAMS,FEDERAL,ALL PRODUCTION PRACTICES,RECEIPTS,OPERATIONS,RECEIPTS,"RECEIPTS: (50,000 TO 249,999 $)"
INCOME,GOVT PROGRAMS,FEDERAL,ALL PRODUCTION PRACTICES,RECEIPTS,OPERATIONS,RECEIPTS,"RECEIPTS: (LESS THAN 50,000 $)"
INCOME,GOVT PROGRAMS,FEDERAL,ALL PRODUCTION PRACTICES,RECEIPTS,OPERATIONS,TOTAL,NOT SPECIFIED
INCOME,"INCOME, FARM-RELATED",ALL CLASSES,ALL PRODUCTION PRACTICES,RECEIPTS,OPERATIONS,TOTAL,NOT SPECIFIED
